 ListingID,Link,lat,lng,Bedrooms,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Dynamic Pricing,id
14785690,[ABnB](https://www.airbnb.com/rooms/14785690),16.76894,-99.77975,2,4.89,89,3326,74,718557,219,3,Moderate,91
40485219,[ABnB](https://www.airbnb.com/rooms/40485219),16.76814,-99.78094,2,4.8,10,3983,30,532407,109,3,Moderate,92
44064095,[ABnB](https://www.airbnb.com/rooms/44064095),16.76842,-99.77841,2,5.0,4,2792,98,127835,47,1,None,93
41323023,[ABnB](https://www.airbnb.com/rooms/41323023),16.76656,-99.7784,2,4.97,38,2895,65,853934,237,2,Low,94
45773033,[ABnB](https://www.airbnb.com/rooms/45773033),16.76889,-99.77895,2,5.0,14,3183,91,803901,333,2,Moderate,95
34344786,[ABnB](https://www.airbnb.com/rooms/34344786),16.76759,-99.77798,2,4.96,23,3491,52,708803,188,2,Low,96
37397331,[ABnB](https://www.airbnb.com/rooms/37397331),16.76901,-99.78009,2,-NA,0,3285,28,325574,101,7,None,97
22045225,[ABnB](https://www.airbnb.com/rooms/22045225),16.76848,-99.77828,2,5.0,14,4476,29,508853,105,2,None,98
46219442,[ABnB](https://www.airbnb.com/rooms/46219442),16.76908,-99.77922,2,4.85,26,3183,42,429090,126,2,None,99
45224296,[ABnB](https://www.airbnb.com/rooms/45224296),16.768720000000002,-99.78086,2,-Unknown,1,1478,16,158474,60,1,Low,100
16509326,[ABnB](https://www.airbnb.com/rooms/16509326),16.769190000000002,-99.77899,2,-NA,0,6468,3,101651,11,7,Low,101
15602762,[ABnB](https://www.airbnb.com/rooms/15602762),16.76923,-99.78023,2,-NA,0,3388,2,28709,8,7,None,102
39171785,[ABnB](https://www.airbnb.com/rooms/39171785),16.76648,-99.77797,2,4.88,42,3141,49,619253,178,2,None,103
46837286,[ABnB](https://www.airbnb.com/rooms/46837286),16.76568,-99.77999,2,4.85,33,2977,58,575861,175,3,Low,104
42122795,[ABnB](https://www.airbnb.com/rooms/42122795),16.76944,-99.77975,2,4.84,67,3162,62,874921,228,2,None,105
48627481,[ABnB](https://www.airbnb.com/rooms/48627481),16.76914,-99.77844,2,-NA,0,5996,0,6079,1,6,None,106
46420922,[ABnB](https://www.airbnb.com/rooms/46420922),16.76939,-99.78041,2,-NA,0,7187,38,699239,115,5,Low,107
33338278,[ABnB](https://www.airbnb.com/rooms/33338278),16.76649,-99.77773,2,4.93,30,2854,67,772859,243,2,Low,108
17760540,[ABnB](https://www.airbnb.com/rooms/17760540),16.76959,-99.78001,2,-NA,0,2484,0,0,0,4,None,109
32384754,[ABnB](https://www.airbnb.com/rooms/32384754),16.76932,-99.77838,2,-NA,0,12300,0,0,0,7,None,110
4481643,[ABnB](https://www.airbnb.com/rooms/4481643),16.76955,-99.77864,2,4.86,37,3675,49,633535,179,3,Low,111
51072440,[ABnB](https://www.airbnb.com/rooms/51072440),16.76547,-99.78051,2,4.91,11,3183,49,138000,47,2,Moderate,112
22980340,[ABnB](https://www.airbnb.com/rooms/22980340),16.76979,-99.77989,2,4.5,2,6058,42,817832,135,7,None,113
